1.159 	8.142 	60.534 	0.000 	2.318 	0.124 	1.865 	0.000 	0.000 	0.124 	44.810 	0.000 	0.000 	0.000 	65.258 	0.000 	16.283 	1.616 	10.429 	1.159 	0.000 	0.249 	0.000 	0.622 	0.559 	0.386 	150.155 	1.545 	0.373 	2.704 	0.000 	0.000 	0.000 	0.311 	1.545 	1.931 	0.000 	0.897 	0.124 	1.119 	0.000 	0.684 	0.000 	81.914 	4.933 	0.186 	2.237 	9.136 	0.386 	0.000 	5.158 	12.741 	0.249 	0.000 	6.712 	0.386 	1.159 	20.696 	0.000 	0.000 	0.497 	0.386 	0.773 	10.752 	0.386 	4.848 	0.386 	0.000 	0.000 	1.931 	0.062 	0.746 	0.808 
0.000 	6.903 	50.023 	4.050 	0.000 	0.184 	1.473 	1.482 	0.000 	0.230 	26.875 	0.424 	0.212 	0.000 	42.614 	0.000 	3.451 	1.565 	1.482 	0.000 	0.000 	0.276 	0.000 	0.782 	0.230 	0.000 	93.005 	0.000 	0.736 	0.635 	0.000 	0.000 	0.635 	0.276 	0.847 	0.000 	0.322 	0.773 	0.184 	0.920 	0.212 	0.230 	0.000 	46.065 	3.609 	0.368 	0.874 	10.907 	0.212 	0.847 	3.221 	7.087 	0.276 	0.000 	10.907 	0.212 	0.424 	14.496 	0.212 	0.212 	0.368 	0.212 	0.424 	4.510 	0.000 	16.291 	0.635 	0.000 	0.212 	0.635 	0.092 	0.460 	0.506 
0.000 	13.600 	82.000 	0.000 	2.000 	0.400 	3.000 	0.000 	0.000 	0.200 	66.900 	0.000 	0.000 	23.400 	74.500 	8.000 	18.300 	2.600 	0.000 	5.000 	0.000 	0.300 	0.000 	1.000 	0.800 	4.000 	322.700 	0.000 	1.500 	0.000 	5.000 	3.000 	0.000 	0.800 	0.000 	5.000 	0.100 	2.200 	0.200 	0.900 	0.000 	0.500 	2.000 	129.200 	22.700 	0.100 	1.300 	36.100 	3.000 	0.000 	9.700 	15.800 	0.500 	9.000 	15.400 	1.000 	3.000 	39.300 	1.000 	0.000 	0.900 	3.000 	1.000 	14.700 	2.000 	1.400 	5.000 	0.000 	1.000 	3.000 	0.200 	0.000 	1.400 
1.692 	7.563 	72.135 	0.000 	13.875 	3.490 	1.803 	0.000 	0.000 	0.116 	38.394 	0.000 	0.000 	0.000 	54.508 	0.000 	17.685 	1.629 	2.030 	0.338 	0.000 	0.465 	0.000 	1.862 	0.233 	0.338 	133.217 	0.000 	0.873 	2.030 	0.000 	0.000 	1.015 	0.349 	0.677 	0.000 	0.058 	0.793 	0.291 	1.105 	0.000 	0.640 	0.000 	52.763 	5.156 	0.407 	1.920 	17.917 	0.338 	0.000 	4.247 	6.864 	0.000 	0.338 	6.748 	0.677 	0.677 	12.740 	0.000 	0.338 	0.349 	0.677 	0.677 	5.061 	0.000 	16.812 	1.015 	0.000 	0.338 	0.677 	0.116 	0.338 	0.873 
1.634 	14.673 	89.410 	0.000 	0.490 	0.323 	1.172 	1.961 	0.000 	0.808 	23.929 	1.797 	0.000 	41.188 	13.217 	0.327 	3.395 	2.466 	0.000 	0.817 	0.000 	0.364 	0.163 	1.940 	0.364 	0.163 	36.217 	0.000 	1.738 	0.490 	0.163 	0.000 	5.065 	0.728 	0.000 	0.000 	2.183 	0.611 	0.606 	0.121 	1.307 	0.162 	0.654 	7.559 	6.943 	0.121 	1.293 	2.304 	0.000 	0.000 	4.810 	4.648 	0.081 	0.000 	13.985 	0.000 	0.000 	15.117 	0.000 	0.000 	0.525 	0.980 	0.000 	4.406 	0.000 	0.243 	0.000 	0.327 	0.000 	0.000 	0.081 	0.000 	0.283 
7.445 	8.202 	59.570 	0.000 	30.796 	0.349 	2.152 	0.000 	0.000 	0.233 	42.583 	0.338 	0.677 	0.000 	85.398 	0.000 	11.693 	1.803 	2.369 	0.677 	0.338 	0.349 	0.000 	0.756 	0.233 	0.338 	115.532 	1.692 	0.058 	5.415 	0.000 	0.000 	1.354 	0.407 	2.707 	1.015 	0.233 	0.793 	0.291 	1.047 	0.000 	0.291 	0.000 	46.597 	3.569 	0.465 	0.931 	10.995 	0.338 	2.030 	3.432 	6.864 	0.000 	0.677 	5.294 	0.000 	1.354 	16.928 	0.338 	0.338 	0.407 	1.692 	0.338 	6.225 	0.000 	30.541 	1.015 	0.000 	0.677 	1.015 	0.175 	0.000 	0.989 
0.234 	4.609 	23.743 	11.145 	0.000 	0.587 	1.453 	1.639 	2.341 	0.503 	14.916 	0.234 	0.234 	17.402 	7.039 	19.116 	1.341 	0.000 	0.156 	0.078 	0.936 	0.028 	0.000 	0.838 	0.140 	0.000 	0.084 	0.000 	0.251 	1.014 	0.000 	0.000 	0.468 	0.419 	1.717 	0.390 	0.028 	0.318 	0.391 	0.419 	0.000 	0.000 	49.858 	0.028 	0.630 	0.240 	0.028 	5.559 	0.000 	0.078 	1.173 	2.430 	0.168 	0.078 	3.408 	0.000 	0.156 	9.134 	0.078 	0.156 	0.307 	0.078 	0.234 	4.274 	0.000 	22.346 	0.546 	0.000 	0.312 	0.390 	0.056 	0.000 	0.475 
0.340 	9.160 	50.758 	0.467 	0.681 	0.175 	3.151 	0.000 	0.000 	0.817 	34.131 	1.362 	1.021 	22.579 	82.672 	0.000 	14.002 	3.501 	0.000 	0.000 	1.362 	0.233 	0.681 	2.100 	0.175 	2.042 	147.725 	0.000 	0.817 	0.000 	1.362 	0.340 	1.702 	0.292 	0.681 	0.681 	0.292 	2.392 	0.525 	0.175 	0.340 	0.233 	1.021 	28.938 	1.994 	0.914 	0.758 	3.209 	0.000 	0.000 	3.151 	8.226 	0.117 	0.000 	12.135 	0.000 	0.000 	27.480 	0.000 	0.000 	0.583 	0.681 	0.000 	8.635 	0.000 	0.175 	0.000 	0.340 	3.064 	4.765 	0.117 	0.000 	0.758 
2.539 	16.651 	147.930 	0.000 	2.539 	0.368 	4.968 	0.000 	0.000 	0.552 	65.777 	1.693 	0.000 	0.000 	111.500 	0.000 	32.383 	3.680 	0.000 	7.617 	2.539 	0.460 	2.539 	2.852 	1.012 	5.924 	231.555 	0.000 	3.220 	0.000 	4.232 	1.693 	10.156 	1.012 	1.693 	0.000 	0.184 	1.877 	1.104 	1.196 	0.000 	0.276 	0.000 	51.794 	11.922 	2.981 	1.196 	18.583 	0.846 	0.846 	8.280 	8.188 	0.368 	0.000 	16.651 	0.846 	0.000 	21.435 	0.846 	0.846 	0.552 	0.846 	1.693 	6.072 	0.000 	36.247 	0.000 	2.539 	0.000 	0.846 	0.184 	0.000 	1.012 
1.129 	9.352 	61.530 	0.000 	0.847 	0.372 	2.710 	1.976 	0.000 	0.213 	43.146 	2.541 	0.282 	0.000 	47.715 	0.847 	6.111 	1.435 	7.623 	1.129 	0.000 	0.266 	0.000 	0.744 	0.159 	0.565 	106.961 	0.847 	0.744 	3.106 	0.000 	0.000 	3.388 	0.478 	0.847 	0.000 	14.665 	0.335 	0.319 	0.584 	1.412 	0.159 	0.000 	51.966 	4.361 	0.319 	0.638 	10.999 	0.565 	1.976 	3.348 	5.845 	0.319 	0.282 	5.526 	0.847 	0.565 	13.656 	0.000 	0.000 	0.372 	0.565 	0.565 	5.685 	0.282 	18.332 	1.129 	0.565 	0.000 	0.565 	0.106 	0.000 	0.531 
