x1	0.11766531	0.230101435	0.050632124	-0.132969496	0.237312443	0.043918505	-0.051666605	-0.146266516	-0.136885682	0.176835275	0.186917609
x2	0.222470136	-0.143703983	0.030432677	-0.132065305	0.021457835	-0.254149378	0.111294142	-0.141364804	0.018001002	0.004213045	-0.145735775
x3	-0.012964304	-0.174530213	0.046715497	-0.009398939	0.079584767	0.216281494	-0.097833042	-0.205460991	0.387195358	0.042702345	0.443966182
x4	0.266833291	0.012736469	-0.079549767	0.037798441	-0.238689614	-0.005917428	-0.015175229	0.109303505	0.150536106	-0.054420301	0.065465911
x5	0.116872391	0.051967482	0.110986215	-0.165442354	-0.051990067	-0.27921908	0.150097824	-0.259773544	-0.391515675	-0.049094704	0.119504481
x6	0.102403959	0.110598302	0.055644806	0.210324188	-0.381463605	0.112662844	-0.054527952	0.206426251	0.0900643	-0.053214334	0.165290277
x7	0.100452394	0.055914736	0.134711334	0.20125605	-0.196582284	-0.214115333	0.166292034	-0.172101339	-0.226609095	0.027720743	0.210325893
x8	0.105316195	0.052771666	-0.089253384	0.325611819	-0.088855193	-0.124801154	0.058157444	0.020829287	0.115357989	0.124807784	-0.413393066
x9	0.206212352	-0.016091274	-0.012374837	0.284980217	-0.214151991	0.004831946	-0.12062261	0.065910831	0.142123333	-0.085816924	0.073462115
x10	0.273310114	-0.129399276	-0.026001966	-0.153759162	0.010791329	0.053178032	0.117633731	0.090002203	-0.04164926	-0.032033309	-0.158221104
x11	0.273576794	-0.004114326	-0.098944129	-0.201209974	-0.076893488	0.070182496	-0.0171348	0.153393354	-0.065148327	0.02212715	-0.060606406
x12	0.250981377	-0.02023671	-0.118875535	-0.030272333	-0.094637977	0.19884706	0.130513804	-0.065508015	0.031822865	0.174857503	0.129051925
x13	0.236998801	-0.057897467	-0.103584692	-0.230132224	-0.059259419	0.121282952	0.112878399	0.186922416	-0.124907833	-0.034991448	-0.107810557
x14	0.053646374	-0.076776275	0.374504592	-0.036783481	0.018755653	0.149218701	0.058727383	0.064707724	0.053078171	-0.015523255	-0.036905735
x15	0.156276713	-0.043000553	0.016611732	0.37623728	0.019372271	0.0635904	0.113676821	0.101712475	-0.132314225	0.139604084	0.052047075
x16	0.011227435	-0.059613414	0.38132753	-0.094129255	0.018907754	0.119134317	0.034388354	0.037658255	0.099278961	-0.024067666	-0.040864459
x17	0.223405063	-0.110391398	0.036351599	-0.032020854	-0.088503968	0.034815485	0.181844569	-0.240110216	-0.124073129	-0.150589751	0.040276697
x18	0.10265312	-0.10785042	-0.057520878	-0.173499143	0.004023409	0.333703737	-0.038714775	0.320829208	-0.265339473	-0.183608947	-0.129341693
x19	0.235456265	0.048999053	0.052192385	0.155515093	0.318536317	-0.003606494	0.054230036	0.001682434	0.00246788	-0.12041021	0.087330165
x20	0.174371215	-0.01919777	0.254448792	-0.001615996	0.207809169	-0.023723271	0.082725516	0.104180494	0.231188779	0.061942899	0.147875459
x21	0.210110044	0.076035151	-0.004192701	0.15960461	0.29873046	-0.00934645	0.059570077	-0.020786547	-0.034744789	-0.190744283	0.12114821
x22	0.123619435	-0.084614567	0.158858444	0.306445532	0.223117016	-0.040053438	-0.004641481	-0.023961256	0.046673875	0.069443681	-0.229664663
x23	0.270182396	0.023272048	0.030374985	-0.031925578	0.259785809	0.083931141	-0.010660512	0.055026956	-0.040515677	0.074680696	0.024968461
x24	0.042741052	0.318013015	0.005716393	-0.082354805	0.049562403	0.003014974	0.008474873	0.155550742	0.042358671	0.314432777	-0.055845531
x25	-0.012339884	0.345534176	0.01370115	-0.025495189	0.069757661	-0.075242675	0.017128682	0.057891787	0.113006227	-0.337053907	-0.053492675
x26	-0.012653756	0.338833803	0.01477823	-0.039467318	0.10660022	-0.088796491	0.012140823	0.007053519	0.099816699	-0.262253164	-0.142865208
x27	-0.011592559	0.33607845	0.012334054	-0.014100956	0.039611754	-0.062088933	0.020103127	0.093061662	0.118038451	-0.378305068	0.014806104
x28	0.03965059	0.305569664	-0.066345338	-0.015577989	0.03227028	0.020062493	0.035885356	0.150411596	-0.012911548	0.45779285	0.030372721
x29	0.081975829	-0.059581435	0.058692878	-0.340275035	0.138500478	-0.277489611	-0.090721932	0.04494348	0.240122088	0.141976146	0.022180737
x30	-0.114932707	0.163519182	-0.173329928	0.026828048	0.073115468	0.377415857	0.169240083	-0.15062684	-0.081593146	0.058079736	0.106599733
x31	0.112812003	-0.00373735	0.114465406	-0.047533159	-0.18417621	-0.384070109	-0.083556516	0.260807194	0.018047676	0.098703029	0.17818302
x32	0.080257627	0.359704004	-0.013261095	-0.002880345	-0.012223039	0.003153902	0.083809151	-0.006034605	0.009937521	0.136246993	-0.006567906
