2027.96 	553.106	0.251	408.028	2.060 	18.210 	1.830 	33.753	1119.853	0.4301	23.604	22.019	9.48	3.195 	17.6780 	237.668	226.5	3.56	5.86	38.66	25.918	182.93	123.6	4.51	78.4 	0.11	24.07	0.78	0.26
2128.82 	626.478	0.062	224.367	9.930 	4.750 	0.770 	30.904	762.525	0.4644	26.875	23.361	13.806	4.889 	27.4550 	229.136	228.8	3.95	5.19	44.05	25.986	81.62	98.3	3.83	77.5 	0.163	26.07	0.65	-1.25
8397.28 	585.046	0.315	157.939	8.080 	2.960 	1.050 	19.303	266.64	0.409	21.685	20.373	10.794	4.764 	164.9927 	273.758	257.6	3.91	7.16	35.99	28.997	83.13	105.4	5.6	71.8 	0.17	25.5	1.09	-0.62
2144.68 	529.823	0.097	79.685	3.770 	5.230 	0.550 	15.534	72.905	0.2655	10.698	8.638	4.482	3.412 	26.9679 	237.766	203.3	3.29	7.11	28.61	23.721	137.97	174.7	3.26	53.0 	0.174	25.98	1.84	-0.37
1844.00 	585.613	0.041	120.606	9.490 	3.770 	1.440 	31.536	143.513	0.3961	17.618	14.486	10.275	0.637 	6.6502 	195.46	212.9	3.64	6.65	32	24.084	515.46	254.2	2.99	65.6 	0.27	26.33	0.88	-0.33
3434.17 	536.643	0.075	46.186	2.830 	2.210 	0	36.774	115.943	0.275	10.671	15.173	6.838	2.203 	7.7272 	223.817	246.1	3.29	9.31	26.43	27.376	202.24	172	2.64	71.9 	0.193	25.16	1.81	-0.16
2391.16 	487.172	0.131	60.767	5.820 	7.740 	0.540 	25.591	433.751	0.1756	9.214	5.619	3.468	0.623 	9.8648 	303.95	211.4	3.18	8.14	25.98	26.438	63.61	168.8	4.78	71.5 	0.141	25.61	2.05	-0.38
1950.76 	558.546	0.181	241.397	5.710 	13.550 	2.510 	50.434	1305.595	0.4148	15.241	22.489	8.483	5.949 	115.5546 	196.99	226.5	2.92	6.47	34.99	25.62	213.09	181.1	6.41	59.6 	0.26	26.85	0.8	-0.51
2262.72 	700.828	0.512	240.843	13.230 	4.120 	1.100 	16.869	424.108	0.6658	30.114	24.362	20.49	4.907 	58.5407 	194.925	203.4	3.74	5.88	34.58	23.761	186.62	138.1	5.31	78.0 	0.13	23.81	1.44	-0.38
1364.14 	545.305	10.25	44.203	2.450 	2.300 	0.240 	10.427	459.569	0.3255	9.476	16.688	4.631	12.307 	28.7475 	161.421	181.2	3.65	6.67	27.16	19.676	255.44	200.8	4.59	71.7 	0.2	27.1	2.17	-1.12
2355.69 	542.662	0.076	7.787	9.290 	8.610 	1.900 	14.26	91.468	0.279	6.075	4.543	2.517	26.851 	25.5751 	237.891	210.2	3.53	5.5	38.24	24.527	177.83	118.8	3.41	58.4 	0.102	28.03	12.15	3.87
2556.79 	493.46	0.065	32.343	6.080 	5.330 	1.130 	21.08	132.216	0.1973	12.059	7.169	3.897	0.696 	2.4802 	262.155	261.1	3.43	8.54	30.58	27.614	191.95	187.7	2.4	63.3 	0.243	26.57	2.04	0.01
1416.11 	606.204	0.015	65.324	4.300 	0.830 	1.150 	28.076	99.881	0.4406	14.385	9.822	7.33	10.863 	40.7586 	212.237	203.4	3.86	4.34	23.75	23.353	159.97	148	4.67	68.1 	0.16	27.53	1.04	-1.57
1237.81 	599.829	0.06	140.257	5.730 	4.120 	1.630 	41.577	991.046	0.3597	14.657	13.941	7.809	6.313 	134.6375 	255.335	193.9	3.39	5.4	35.9	24.06	209.11	136.3	4.6	66.2 	0.255	25.41	1.19	-0.57
2177.91 	524.613	0.068	52.792	6.230 	3.630 	2.060 	25.743	157.997	0.2189	11.901	25.417	5.511	0.211 	9.7179 	208.933	214.9	3.19	8.57	25.09	25.012	159.31	174.5	2.9	67.7 	0.213	25.53	1.98	-0.01
1553.50 	583.374	0.083	60.66	9.030 	7.280 	2.380 	13.648	529.969	0.2367	11.214	10.086	9.157	4.556 	8.1900 	189.275	205.6	3.3	4.92	41.76	22.346	119.17	109.3	3.79	71.8 	0.135	26.11	1.33	-0.34
1713.65 	548.833	0.056	59.424	5.880 	5.110 	0.880 	17.174	129.581	0.3585	15.336	15.73	8.701	0.711 	43.8121 	271.504	238.2	3.43	8.66	27.51	26.276	446.64	264.1	2.8	71.5 	0.33	25.4	1.18	-0.25
2398.38 	513.817	0.112	40.228	3.60 	5.590 	0.520 	27.077	158.87	0.2256	7.381	5.388	5.245	0.416 	6.5161 	265.773	226.6	3.27	8.03	28.21	26.338	196.01	208.4	2.6	63.1 	0.16	25.52	2.87	0.21
2463.60 	544.462	0.072	115.704	5.560 	4.270 	0.130 	30.408	202.962	0.3796	17.426	13.7	9.454	3.821 	31.2649 	220.333	214.9	3.57	6.81	31.54	23.441	173.09	168.8	6.32	67.4 	0.162	27.19	0.8	-1.51
2273.63 	559.332	0.024	23.523	3.510 	0.920 	0.440 	12.439	89.77	0.2819	12.677	8.115	8.155	1.545 	9.6262 	227.338	209.1	3.81	5.17	40.48	22.933	307.14	334.3	3.15	59.5 	0.232	27.09	1.96	-0.43
6346.83 	563.794	0.05	89.282	15.510 	2.930 	2.380 	18.123	194.262	0.3793	16.192	13.613	7.515	7.847 	47.2196 	259.11	216.9	3.56	6.78	31.99	26.948	147.66	106.1	4.74	60.4 	0.108	25.18	1.21	0
2566.61 	488.712	0.074	74.027	6.490 	7.730 	0.770 	21.824	417.665	0.2837	16.442	12.155	7.846	4.289 	13.8003 	226.399	234.7	3.65	5.97	39.36	25.674	106.61	115.8	3.32	57.4 	0.147	25.94	1.52	-0.07
2380.81 	543.574	0.097	172.626	4.080 	5.200 	0.390 	16.406	427.028	0.5725	29.704	24.257	24.295	9.968 	44.7476 	212.564	208.8	3.39	6.91	30.23	23.383	278.75	219.1	3.84	77.5 	0.233	26.65	1.38	-0.42
1638.83 	525.82	0.033	144.881	8.360 	4.600 	1.700 	15.066	144.729	0.283	8.751	14.417	8.206	2.935 	14.3803 	244.512	203.3	3.61	7.27	27.98	25.815	517.45	237.4	2.99	76.7 	0.247	25.97	0.9	-0.29
