2027.96 	553.106	0.251	408.028	2.060 	18.210 	1.830 	33.753	1119.853	0.4301	23.604	22.019	9.48	3.195 	0.388 	2.559 	0.248 	0 	17.6780 	5.3048 	7.8731 	0.3648 	4.1352 	208.175	237.668	110.15	127.517	226.5	3.56	5.86	38.66	25.918	182.93	123.6	4.51	78.4 	0.11	24.07	0.78	0.26	3.759	0.837
2128.82 	626.478	0.062	224.367	9.930 	4.750 	0.770 	30.904	762.525	0.4644	26.875	23.361	13.806	4.889 	0.453 	3.881 	0.555 	0 	27.4550 	8.5109 	11.5575 	1.4199 	5.9667 	205	229.136	113.498	115.638	228.8	3.95	5.19	44.05	25.986	81.62	98.3	3.83	77.5 	0.163	26.07	0.65	-1.25	-0.358	1.445666667
8397.28 	585.046	0.315	157.939	8.080 	2.960 	1.050 	19.303	266.64	0.409	21.685	20.373	10.794	4.764 	0.354 	4.254 	0.156 	0 	164.9927 	19.9773 	115.7318 	6.4819 	22.8018 	256.19	273.758	132.209	141.549	257.6	3.91	7.16	35.99	28.997	83.13	105.4	5.6	71.8 	0.17	25.5	1.09	-0.62	-1.601333333	1.250666667
2144.68 	529.823	0.097	79.685	3.770 	5.230 	0.550 	15.534	72.905	0.2655	10.698	8.638	4.482	3.412 	0.287 	2.850 	0.102 	0.172 	26.9679 	4.1832 	16.0873 	2.2321 	4.4653 	189.722	237.766	109.316	128.45	203.3	3.29	7.11	28.61	23.721	137.97	174.7	3.26	53.0 	0.174	25.98	1.84	-0.37	-52.69933333	1.890666667
1844.00 	585.613	0.041	120.606	9.490 	3.770 	1.440 	31.536	143.513	0.3961	17.618	14.486	10.275	0.637 	0.234 	0 	0.403 	0 	6.6502 	1.9795 	4.3126 	0.3580 	0 	209.663	195.46	99.585	95.875	212.9	3.64	6.65	32	24.084	515.46	254.2	2.99	65.6 	0.27	26.33	0.88	-0.33	-5.033666667	0.963333333
3434.17 	536.643	0.075	46.186	2.830 	2.210 	0	36.774	115.943	0.275	10.671	15.173	6.838	2.203 	0.254 	1.850 	0.100 	0 	7.7272 	1.0556 	5.7646 	0.9070 	0 	244.385	223.817	108.798	115.019	246.1	3.29	9.31	26.43	27.376	202.24	172	2.64	71.9 	0.193	25.16	1.81	-0.16	17.116	1.822
2391.16 	487.172	0.131	60.767	5.820 	7.740 	0.540 	25.591	433.751	0.1756	9.214	5.619	3.468	0.623 	0 	0.555 	0.068 	0 	9.8648 	3.1714 	6.4797 	0.2136 	0 	209.861	303.95	142.437	161.513	211.4	3.18	8.14	25.98	26.438	63.61	168.8	4.78	71.5 	0.141	25.61	2.05	-0.38	-6.273333333	2.089666667
1950.76 	558.546	0.181	241.397	5.710 	13.550 	2.510 	50.434	1305.595	0.4148	15.241	22.489	8.483	5.949 	5.283 	0 	0.549 	0.116 	115.5546 	11.6300 	73.2112 	18.0987 	12.6146 	198.849	196.99	94.336	102.654	226.5	2.92	6.47	34.99	25.62	213.09	181.1	6.41	59.6 	0.26	26.85	0.8	-0.51	-1.955	0.987
2262.72 	700.828	0.512	240.843	13.230 	4.120 	1.100 	16.869	424.108	0.6658	30.114	24.362	20.49	4.907 	0.423 	3.022 	0.904 	0.558 	58.5407 	11.0634 	33.1717 	2.7706 	11.5350 	193.69	194.925	98.701	96.224	203.4	3.74	5.88	34.58	23.761	186.62	138.1	5.31	78.0 	0.13	23.81	1.44	-0.38	-1.757333333	1.496
1364.14 	545.305	10.25	44.203	2.450 	2.300 	0.240 	10.427	459.569	0.3255	9.476	16.688	4.631	12.307 	0.527 	11.140 	0.485 	0.156 	28.7475 	10.3672 	10.2736 	5.7455 	2.3613 	167.202	161.421	79.379	82.041	181.2	3.65	6.67	27.16	19.676	255.44	200.8	4.59	71.7 	0.2	27.1	2.17	-1.12	-2.225333333	2.538666667
